index_date,ggbr4_(reais),car_production,volume
2017-12-01,12.580945579938,139855.900976804,211666307.71038
2018-01-01,13.8072271132358,166730.656688034,265383287.377128
2018-02-01,16.8991118608062,155968.055760083,185175169.449861
2018-03-01,14.9460960996942,174000.616703898,173831178.848649
2018-04-01,16.6126294879511,185645.967671114,157363488.682466
2018-05-01,15.3667380805754,164550.202755389,178345538.813474
2018-06-01,13.879862766531,169005.88301523,218021810.026417
2018-07-01,16.634015602223,172857.168680049,201966076.702993
2018-08-01,16.2076257357161,197683.802692635,208441905.727954
2018-09-01,17.4410674632631,173813.221054954,134759913.838738
2018-10-01,16.5556019082164,202924.834820173,186735987.799673
2018-11-01,15.2622622719636,182136.148564795,162383457.417103
2018-12-01,14.9935440049963,157964.086769129,175167837.855004
